LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
NOR,PISAREAD,GIRL,MEANSCORE,A,2018,523
NOR,PISAREAD,TOT,MEANSCORE,A,2018,499
NZL,PISAREAD,BOY,MEANSCORE,A,2018,491
NZL,PISAREAD,GIRL,MEANSCORE,A,2018,520
NZL,PISAREAD,TOT,MEANSCORE,A,2018,506
OAVG,PISAREAD,BOY,MEANSCORE,A,2018,472
OAVG,PISAREAD,GIRL,MEANSCORE,A,2018,502
OAVG,PISAREAD,TOT,MEANSCORE,A,2018,487
POL,PISAREAD,BOY,MEANSCORE,A,2018,495
POL,PISAREAD,GIRL,MEANSCORE,A,2018,528
POL,PISAREAD,TOT,MEANSCORE,A,2018,512
PRT,PISAREAD,BOY,MEANSCORE,A,2018,480
PRT,PISAREAD,GIRL,MEANSCORE,A,2018,504
PRT,PISAREAD,TOT,MEANSCORE,A,2018,492
RUS,PISAREAD,BOY,MEANSCORE,A,2018,466
RUS,PISAREAD,GIRL,MEANSCORE,A,2018,491
RUS,PISAREAD,TOT,MEANSCORE,A,2018,479
SVK,PISAREAD,BOY,MEANSCORE,A,2018,441
SVK,PISAREAD,GIRL,MEANSCORE,A,2018,475
SVK,PISAREAD,TOT,MEANSCORE,A,2018,458
SVN,PISAREAD,BOY,MEANSCORE,A,2018,475
SVN,PISAREAD,GIRL,MEANSCORE,A,2018,517
SVN,PISAREAD,TOT,MEANSCORE,A,2018,495
SWE,PISAREAD,BOY,MEANSCORE,A,2018,489
SWE,PISAREAD,GIRL,MEANSCORE,A,2018,523
SWE,PISAREAD,TOT,MEANSCORE,A,2018,506
TUR,PISAREAD,BOY,MEANSCORE,A,2018,453
TUR,PISAREAD,GIRL,MEANSCORE,A,2018,478
TUR,PISAREAD,TOT,MEANSCORE,A,2018,466
USA,PISAREAD,BOY,MEANSCORE,A,2018,494
USA,PISAREAD,GIRL,MEANSCORE,A,2018,517
USA,PISAREAD,TOT,MEANSCORE,A,2018,505
AUS,PISAMATH,BOY,MEANSCORE,A,2018,494
AUS,PISAMATH,GIRL,MEANSCORE,A,2018,488
AUS,PISAMATH,TOT,MEANSCORE,A,2018,491
